,sa_5hz,PGA,rot_lin,rot_nlin
20965,7.1055693,1.1882681,1.1771265,1.8599
20966,10.191908,2.2351681,1.4581104,3.24465
20967,4.3992012,1.7647015,0.82707673,0.82707673
20968,2.1420618,0.89127181,0.31315435,0.31315435
20969,2.7768766,2.1664801,0.30814527,0.30814527
20970,2.2767451,0.33115613,0.38309061,0.38309061
20971,2.3980973,0.99323567,0.37811083,0.37811083
20972,2.2426712,2.7712709,0.29487419,0.29487419
20973,6.0061747,2.522491,0.70558198,0.70558198
20974,3.0839249,1.6447326,0.37276334,0.37276334
20975,1.1485831,0.24898959,0.22994967,0.22994967
20976,3.1650285,0.6663773,0.37491532,0.37491532
20977,3.9997678,0.81263367,0.51761377,0.51761377
20978,12.335593,2.9893765,1.5569749,4.29889
20979,5.5530594,1.0248837,0.94268211,0.94268211
20980,6.6970799,1.9286153,0.90067952,0.90067952
20981,4.0070944,0.78678824,0.70390106,0.70390106
20982,2.2363737,0.98146631,0.29810669,0.29810669
20983,2.2141076,0.89252768,0.37484231,0.37484231
20984,0.30656937,0.18495242,0.11649656,0.11649656
20985,8.5399503,1.7487152,1.2907829,2.49547
20986,12.948612,3.6147985,1.5752558,3.13115
20987,2.0189353,1.1856994,0.28142551,0.28142551
20988,3.7379777,0.58351876,0.52013179,0.52013179
20989,0.88392882,0.41986063,0.18683434,0.18683434
20990,3.4970711,1.5263438,0.49620869,0.49620869
20991,4.2916991,0.67459532,0.56860141,0.56860141
20992,4.826951,1.5017959,0.65296261,0.65296261
20993,3.8229907,0.95792714,0.65742445,0.65742445
20994,7.8914566,1.4466703,0.88789244,0.88789244
20995,34.002195,7.0283529,4.1466674,8.51103
20996,4.8423046,1.9533126,0.86693979,0.86693979
20997,0.80368636,0.366772,0.1499085,0.1499085
20998,15.33566,2.1600521,1.8912136,5.65293
20999,5.2634055,1.2562726,0.49436669,0.49436669
21000,5.7148071,3.2618823,0.27771313,0.27771313
21001,7.2986413,1.9024463,0.62240558,0.62240558
21002,1.0339036,0.34478192,0.17225226,0.17225226
21003,5.3501104,1.6917245,0.46483092,0.46483092
21004,4.6418651,1.2159462,0.31071692,0.31071692
21005,3.1039864,1.0958848,0.44088251,0.44088251
21006,0.45218571,0.29074659,0.13961561,0.13961561
21007,19.311273,4.0880172,2.4147862,6.84242
21008,14.500107,2.5743416,2.1286233,6.55191
21009,5.1093885,1.7561235,0.84450873,0.84450873
21010,1.2465298,0.29729973,0.2656807,0.2656807
21011,0.089018179,0.049469413,0.088400281,0.088400281
21012,13.328802,3.1998943,1.6614816,4.33291
21013,0.68757567,0.17329264,0.14518399,0.14518399
21014,3.9275802,1.1076803,0.49168209,0.49168209
21015,10.458375,3.2695905,1.4034183,3.07224
21016,3.3943356,1.393555,0.50391561,0.50391561
21017,4.7236579,0.75716426,0.61644332,0.61644332
21018,5.5035967,1.6241375,0.6810922,0.6810922
21019,4.3756464,1.4168786,0.43956856,0.43956856
21020,3.8700962,1.1673817,0.51096004,0.51096004
21021,3.8240935,1.6350146,0.50855045,0.50855045
21022,0.83901868,0.46127245,0.15339304,0.15339304
21023,2.314056,0.5025219,0.22126753,0.22126753
21024,1.993777,0.39314246,0.32913637,0.32913637
21025,1.6422666,0.53487672,0.17840874,0.17840874
21026,18.293727,7.5009803,2.6251272,3.58196
21027,1.5059824,0.26881393,0.27325282,0.27325282
21028,12.997682,2.2603992,1.3679988,2.67647
21029,6.7085061,1.3952434,1.131549,1.54359
21030,1.8714143,0.43784988,0.35960064,0.35960064
21031,0.52697326,0.099516963,0.14564561,0.14564561
21032,5.2352856,1.6025171,0.77699521,0.77699521
21033,22.539325,4.0919168,2.7519683,6.82815
21034,0.30620972,0.07487634,0.12063669,0.12063669
21035,1.1547531,0.34847024,0.22807277,0.22807277
21036,3.5733983,0.76759446,0.55826511,0.55826511
21037,11.023327,2.2746228,1.1609913,1.57758
